"Dealer","Alamat","Area","Telepon","Fax"
"CV Duta Sarana","Jl H Agus Salim rt 09 kel Handil Jaya kec Jelutung, Jambi","","085764127560",""
"Dian Permata Pamenang","RT 011 RW 005 Kel. Pamenang Kec. Pamenang","","081366878259",""
"CV Berlian Prima","jl IR H Juanda no 7 RT 27 simp 3 sipin , Jambi","","089665739633",""
"Toko Dunia Parabola","Jl. Pancasila No. 01 Simpang Raya Sei Penuh, Kerinci","","0857758876546",""
"Cahaya Mutiara","Desa Mekar Sari Makmur RT/RW 06/05 Sungai Bahar ","","081366505041",""
"Prima Media Utama","Komp.Taman Pondok Indah Blok C8 RT15 RW 006","","082373810000",""
"CV. Angkat Putra Kie","Jl. Prof. DR. Sri Soedewi, MS. S.H.  Kel. Tungkal Harapan Kec. Tungkal Ilir Kab. Tanjung Jabung Barat Jambi","","074221709/085368812344/082373330333","074221079"
"CV. Bima Sakti/Anton Parabola","Jl. Kapt. Pattimura No. 12 A RT. 031/RW. 000 Kel. Simpang Empat Sipin Kec. Telanaipura Kota Jambi","","074143406/085379198947/081928918808","074143406"
"CV. Dian Permata Pamenang","RT. 011/RW. 005 Kel. Pamenang Kec. Pamenang Kab. Merangin Jambi","","0746331030/081366878259","0746331030"
"PO. Lorhil AC","Jl. Lintas Sumatera KM 4 RT. 007/RW. 003 Kel. PMT. Kandis Kec. Bangko Kab. Merangin Jambi","","081366752281/082180040084","none"
"CV. Cakrawala Jaya Perkasa","Jl. Perumahan Bumi Bahtera Indah Blok A No. 07 RT. 013/RW. 001 Kel. Campang Raya Kec. Tanjung Karang Timur Kota Bandar Lampung","","081272857272/081278772365","none"
"CV. Lautbiru Prima","Jl. Untung Suropati Komp. Ruko Suropati Estate Blok AA No. 4 Labuhanratu Kota Bandar Lampung","","0721700536/07217905574/0721784536/08136970808","0721700536"
"CV. ThreeZet","Jl. MS. Batu bara No. 50B Teluk Betung Kota Bandar Lampung","","0721482725/085267903000","0721482725"
"Toko 29 Elektronik","Pusat Pertokoan Metro Blok D1 No. 17 Lampung","","07257851298/081369072327/081369072327","07257851298"
"CV Rizky Permata","Jl SKRD Syahbudin no 2 rt 4 mayang mangurai kecamatan kotabaru","","0852693232 / 082378254433","0741 - 5910999"
"CV. Ridho Brothers","Jl. Panglima A. Hamid No. 08 RT. 10 Kuala Tungkal Jambi","","074221006/085379366650","none"
"Toko Bima Elektronik / Furniture","Pasar Impres CDPN Kantor Telkom / Kaganda Lampung Selatan","","0727322322/08218307727/082183077327","none"
"Variasi Audio Lek-To","Jl/ Pahlawan No 17 LK VI RT 08 Kel Jua-Jua Kec. Kayu Agung Kab Ogan Komering Ilir","","081367714202",""
"CV. Karya Teknik","Taman Indralaya Blok F/4 RT 03/02 Indralaya","","081368782333",""
"CV.Sarana Mitra Indonesia","Jl.Arif Rahman Hakim No.25A, ","","0853-6955550",""
"Dealer CV.Sarana Mitra Indonesia","Jl.Arif Rahman Hakim No.25A, ","","0853-6955550",""
"Suwandi Elektronik Bangka","Jl. MS. Rahman No.236 Pangkal Pinang","","0717-434525","0711-434526"
"Dealer Suwandi Elektronik Bangka","","","",""
"Prima Elektronik ","Jl. Depati Endek no.1-2 RT/RW 01/04, Kel Kota Tanjung Pandan","","071925619",""
