"Dealer","Alamat","Area","Telepon","Fax"
"CV. ARTOMORO PARABOLA","JL. BUKIT ANGGREK I NO.48-A SENDANG MULYO, SEMARANG","","02470707761","02476742670"
"CV. PITULAS JITU","Jl. MAJAPAHIT 116 A, SEMARANG","","02470781717, 0818451717, 082133821717","0246709796"
"CV. ANDY JAYA ELECTRIC / MAJU ELEKTRONIK","JL. KYAI HASAN, KIOS PASAR KRANGGAN, TEMANGGUNG","","085876273737",""
"TOKO BARU","JL. LETJEND SUPRAPTO 91-93 TEGAL","","0283356844",""
"CITRA AURA KENCANA","JL. JANGLI PERBALAN TENGAH 2 NO.46 RT009 RW006","","",""
"Sinar Pagi","","","02470127007",""
"JogjaSat","Jl. Jatimulyo Baru B-8 Yogyakarta","","081227555007, 08882824166","02747151300"
"Samudra Electronic","Jl. Diponegoro No.10 RT/Rw 03/01 Banjarsari, Surakarta, Jateng","","0811284065, 081904728648, 02715886565","0271631177, 0271633914"
"CV Karunia Cahaya Semesta","Jl. Majapahit Utama no.44 Nusukan Banjarsari Surakarta","","082326710505","0271741737"
"OX Parabola","Jl.HOS Cokroaminoto  no 70 Yogyakarta","","087730303095","02747401550"
"Abadi Jaya Selalu","Jl. Letjend Suprapto no.125 Yogyakarta","","083869697707, 0274583190","0274562631"
"CV Wahyu Pradana","Jl. Kebon Agung Utara 9 no.7 Kebon Batur - DMK","","085290882513","082135227313"
"CV Artha Barokah/ Sultan Parabola","Perum Villa Anjani Blok C 8 Ngares Sangubanyu Bandongan Magelang","","08882712568","085643020234"
"PT. Kencana Mega Media","Jl. Martadireja 1 No.708 ","","0281 922 3333","0281 9222220"
"Monggo Mas ","","","",""
"Mitra Com Parabola","Kebonan Rt 007/ Rw.01,  Kelurahan Kebonan, Kecamatan Karang Gede","","085328989789 / 085741578989",""
"Cahaya Terang","Jl. Urip Sumohardjo 205","","0271 - 644520",""
"Toko Samudra Elektronik","Jl. Slamet Riyadi No.128, Surakarta","","0271-633914","0271-631177"
"PT.Kencana Mega Media Solo","Jl.Adi Sumarmo No.103b nusukan, banjarsari,","","0271-9255256",""
"Digal Elektronik","Jl.Slamet Riyadi No.128,Surakarta","","081904728648","0271-631177"
"Lintas Karsa","Jl. RM. Kahfi 1 No. 14 Rt/Rw 04/08 Kel. Tanah Baru Kec. Beji 16426","","02177833286, 081380118301","02177833286"
"BintangLED","Jl. Pendidikan No. 30A Rt. 07/03 Cinangka 16516","","08161611312/02174709351","02174709351"
"Momo Creative Desaign","Jl. Musi 9 No. 162 Depok Timur","","081283573926/08129144784","-"
"Cv. Alfaria","Jl. Lele Raya No. 34-36 Perumnas Kayuringin Jaya Bekasi Selatan","","08111897022/0218843776","0218843776"
"Fadillah Parabola","Jl. Ciaul No. 22 Rt. 3/7 Subang Jaya Cikole Sukabumi","","081218758789, 08562010477","0266261100"
"PT. GRC. Prima / Data Media Teknik ","Perum Duta Kranji, Jl. Penataran A-66 Rt. 03 Rw. 01 Bekasi Barat ","","08161933646","0218847411"
"Cv. Adam Kurdia Jaya","Kp. Muara Cideung Rt. 03 Rw. 04 Desa Cibalung Kecamatan Cijeruk Bogor","","081513912907/081212408868, 085888873089/08131","02136770905"
"Cv. Olla Parabola","Lingkungan citatah dalam Rt. 03 Rw. 04 No. 45 Cibinong Bogor","","082112359733/085311179810",""
"PT. Mayapada Marga Abadi","Jl. Mawar Merah No. 2 Rt. 08 Rw. 04 Kelurahan Meruya Utara Kecamatan Kembangan ","","085714700017, 085778874439","0215303132"
"Cv. Sstrike Sembilan Delapan","Jl. Pondok Rajeg Rt. 003 Rw. 04 No. 6, Pondok Rajeg Cibinong Bogor","","087870300928","02196382568"
"Cv. Tohaga","Kp. Cigudeg Rt. 03 Rw. 04 Ds. Cigudeg Kec. Cigudeg Bogor","","08561414798",""
"Cv. Bagastama","Jl. H. Udin / Panglima Polim Rt. 002 Rw. 05 No. 285 Poris Plawat Utara. Cipondoh Tangerang","","088808724974, 083808190188",""
"Cv. Skill Elektro","Jl. Dr. Semeru Raya No. 59 Rt. 010 Rw. 10 Grogol Petamburan Jakarta Barat","","087780915659, 02131735100","02156198181"
"Ud Bahagia","Jl. M. Siban No. 51 Bojong Poncol","","0811865363","02173450296"
"Ud Ray Parabola","Jl. Pajajaran No. 26 Pamulang Toko Villa Pamulang Blok CF3/12","","08111883829/081585937139",""
"Mitra Mandiri","Jl. Batu Ampar 1 No. 2 Rt/Rw 010/01 Kramat Jati Jak-Tim","","081806557779",""
"Aheng Parabola","Jl Duri Raya 3 No. 10 Grogol Jakarta Barat","","08128888133",""
"Sumber Parabola","Komp.ruko puri delta mas jl.bandengan selatan blok I/10 Penjaringan Jakut,14450","","0812811558/021-400469666",""
"Dealer Sumber Parabola","","","",""
"Hamada Parabola/Tema pro","Jl. Gubernur Suryo 1-3 RT/RW 02/02 - Surabaya","","0318297668",""
"PRIMATAMA HERINDOCELL","Jl.Raya Jemursari 15 B - Surabaya","","0318430707, 083838880000, 08315889999","0318430707"
"Jaya Elektronik","Jl.Raya Thamrin no.38 Lawang Malang - Malang","","0341-427020","0341427020"
"CV Paragon Indonesia","Jl.Manyar Kertoarjo 1/18  - Surabaya","","031-3722520","0313766004"
"Artha Multisatelindo","Jl.Danau Paniai C7A/no.34  - Malang","","0341-7012694","0341713434"
"Aneka Parabola","Jl.Gentong Besar 41 - Surabaya","","031-5310075","0315350576"
"Elmi Parabola","Jl. Edelweis 36 RT 005/RW004 Demangan Regency Sidoharjo Lamongan - Lamongan","","0322-7722445","03227722445"
"Jaya Sakti","Jl. Basuki Rachmad no.64 TulungAgung - TulungAgung","","0355-321339","0355323055"
"CV Asia Mandiri Engineering","Jl.Raya Malangsuko 61A Tumpang 65156 Malang,  Jl. Teluk Pelabuhan Ratu 81 Arjosari  - Malang","","0341-7651200","0341787960"
"Sehati Sinergy","Jl.Krojan RT05Rw03 Blambangan Muncar Banyuwangi - Banyuwangi","","0333-594325","0333594325"
"UD Berkah Jaya Abadi","Jl.Kemuning no 9 RT/RW 02/03 - Blitar","","0342-6982002","0342443746"
"Taman Olie","Jl. Asahan 91 Madiun - Madiun","","0351-7866101","03517866101"
"CV Compass","Kel Ketapang kec Kademangan Probolinggo Perum Kopian barat c/2 RT.Rw 1/5 - Probolinggo","","0335-435971","0335435971"
"CV Maxima Anugrah Solusindo","Jl. Klampis Jaya Surabaya 60117 Ruko Klampis Megah B-28 - Surabaya","","031-5934407","0315934407, 0315921963"
"CV.Tiga Anugerah Utama","Jl.Raya Blimbing No.11 , Blimbing Gudo, Jawa Timur - Jombang","","0321-7150150",""
"Mastekindo","Jl. Tanjung Anom no.1/7 - Surabaya","","0315344180","0315313646"
"TV entertainent","Jl.Tanjung anom I/7 Surabaya - Surabaya","","08563066660","031-5344180/031-5462966"
"Christy Parabola","Babatan Pratama X/G-3 Surabaya - Surabaya","","0317521677","031-7521677"
"Toko Edison","Jayanegara 217 A Mojokerto - Mojokerto","","08121610384","(0321)397926"
"Terus jaya","Jl.S supriadi 23A/1` Sukun malang - Malang","","081232147355","(0341)7745277"
"Gloria Parabola","Wr.Supratman No 60 Probolinggo - Probolinggo","","081559575888","(0335)422126"
"Wawan Parabola","Jl.Kartini 130 Surabaya - Surabaya","","03170208225","(031)5684836"
"Primaraya ","Jl.Citra harmoni A1-17 Trosobo sidoarjo - Sidoarjo","","031-77770001","031-7877707"
"Erce Gema","Jl.Danau paniai C7A No.34 - Surabaya","","","(0341)713434"
"Jaya Elektronika","Trunojoyo 87 Madiun - Madiun","","","(0351)495668"
"Media Jaya ","Dukuh menanggal 1 /12 A - Surabaya","","03158251536","03134302268"
"Tk Hikmah","Jl.Gunung wilis no.1 Jember - Jember","","0336441683"," "
"Abadi Ponorogo","Soekarno hatta 64 Ponorogo - Ponorogo","","0352489226",""
"Wijaya Mandiri Utama"," - Surabaya","","0811310207","0318482622/8482625/"
"Utama Sentral Abadi","Jl. Kencana Sari Timur XI no.94-95 Komp Cheris Kencana - Surabaya","","08113636888 / 0811349438, 087850505058",""
"ZAHIRA","TROPODO ASRI H-22, WARU - SIDOARJO","","08811654462 / 081222221709",""
"PANCA","SIMO SIDOMULYO 4/21 A - SURABAYA","","083831801555",""
"MITRA RAKA","BABATAN PRATAMA BLOK G NO.3 - SURABAYA","","08123523925",""
"AJK","DUKUH KUPANG TIMUR VI/56 - SURABAYA","","031-77712227",""
"METRO PARABOLA","KLAMPIS SQUARE BLOK J NO.3 - SURABAYA","","031-5963541 / 081703171279",""
"CV. RBM","JL. KEBANGSREN V, KETANDAN BARU 1 RT/RW 09/04 NO. 1, EMBONG MALANG - SURABAYA","","031-88230370 / 088801536156 / 082139486773",""
"CV. JAYA ABADI","JL. TRUNOJOYO NO. 35 - BANGKALAN","","081335095696",""
"CV. TETHA BHAKTI MANDIRI","JL RAYA KARANGBINANGUN KM 1 DSN BANDUT 02/01 DS BOGOBABADAB KEC KARANGBINANGUN KAB LAMONGAN - LAMONGAN","","08563099244/081330891864",""
"SENTRAL MANAGEMENT","KENCANASARI TIMUR GG 10-J NO 41  - SURABAYA","","031-3131383897",""
"MEGA ELEKTRONIK","DSN.KAMBINGAN RT/RW:02/02 KEC.PAGU, - KEDIRI","","0822324111269",""
"CV Omega Maju Jaya","Jl. Terusan Borobudur 61D Malang - Malang","","081916165303","0341419260"
"Jaya Elektronik","Jl. Raya Thamrin 38 Lawang - Malang","","08980001984","0341427020"
"Kurniawan Jaya Elektronik","Jl. D Toba Blk C 1 Ruko Sawojajar Malang - Malang","","087859396977","03418183977"
"Meubel Purnama","Jl. Raya Kesamben RT 03/01 Kec Kesamben Kab Blitar  - Blitar","","081334852868","0342332024"
"Sinar Jaya Elektronik","Jl. Jend Sudirman 145 Sumberpucung Malang - Malang","","08816231045","0341385215"
"TB Jaya Elektronik","Jl. Urip Sumoharjo No.1  Pandaan - Malang","","081335333795","0343638476"
"Tri Jaya","Jl. Raya 166 Purwosari Pasuruan - Malang","","0343611938","0343613111"
"Aneka Elektronik","Jl. Sukarno Hatta no.283 - Ponorogo","","0352482312",""
"CV Asia Mandiri Engineering","Jl. Raya Malang Suko 61 A Tumpang Malang (Head), Jl. Teluk Pelabuhan Ratu 81 Arjosari Malang - Malang","","0341786341","0341787960"
"CV Barokah Dua Putra","Jl. Kaumurjo 38 Ngantang - Ngantang","","081334303343","0341521106"
"Dunia Elektrik","Jl. Puncak Jaya no. 10B Pare - Kediri","","0816562998","03547025525"
"Istana Elektronik","Jl. Sudirman 93 - Ponorogo","","0352481125","0352484236"
"Jaya Raya","Jl. Urip Sumoharjo No.34  Pandaan - Malang","","0351451043",""
"Metro Elektronik","Jl. Gusti Ngurahray no.36 Tulungagung - Tulungagung","","0355321259","0355322870"
"Niagara Elektronik","Jl. Panglima Sudirman 170 Madiun - Madiun","","0351458800",""
"Palapa Elektronik ","Jl. Yos Sudarso 36 - Magetan","","03512892492",""
"Piramid Elektronik","Jl. Agus Salim no 91 - Tulungagung","","0355321615","0355321432"
"Sami Jaya Elektronik","Jl. Sudirman no.123 - Ponorogo","","0352481330",""
"Cahaya Terang","Jl. Raya Kejamben no.10 RT.01 RW 05 Kejamben Blitar - Blitar","","0821142625638",""
"Bintang","Jl.Kesamben Blitar - Blitar","","081334749000",""
"Cahaya Indah","Jl. Prof Moh Ymain 35-39 - Malang","","082140525580","0341369259"
"Alba Listrik","Jl. Tumapel Ruko no.3 Singosari Malang - Malang","","081336049049","03417800006"
"Basuki","Jl. Panglima Sudirman no.66 - Trenggalek","","081334189972","0355791224"
"Bintang Mas","Jl. PB Sudirman no.71-73 - Trenggalek","","03557719292","0355791244"
"Cahaya Sejati","Jl. Patimura no.62 - Kediri","","0354684674",""
"Elektronik Komunikasi","Jl. Cokroaminoto 31B Kediri - Kediri","","085851577775",""
"Immanuel","Jl.Ps Genteng Baru Lt.II Blok W/7 Surabaya - Surabaya","","085732662866","0315313616"
"Wijaya","Jl. AhmadYani no.13D - Nganjuk","","085731176850","0358323627"
"Wijaya","Jl. Panglima Sudirman no.75 - Trenggalek","","082142249596","0355791377"
"Varia Elektronik","Jl. Ayanino.16 - Kertosono","","0358555530","082334877960"
"Tanda Jaya","Jl. Doho no.161 - Kediri","","0354680690",""
"Sumber Listrik","Jl. Doho no 21 - Kediri ","","0354687978",""
"Sinar Terang","Jl. Gatot Soebroto Sedayu Turen - Turen","","08155557558, 085755566556","0341824531"
"Sinar Sabar Elektronik","Jl. Raya Tumpang - Malang","","081355660911","0341787303"
"Sinar Elektronik (warujayeng)","Jl. Ayani no.9 Warujenang - Kediri","","0358771696",""
"Semeru Elektronik","Jl. Raya Tumpang - Malang","","08133335514","0341787264"
"Sembilan Jaya","Jl. AhmadYani no.25 Turen Malang - Malang","","085234235200","0341823735"
"Sanjaya","Jl. Diponegoro no.122 DPn BCA - Tulungagung","","085235898888","03557718182"
"Nirwana","Jl. AYAni no 16 - Nganjuk","","085236725745","0358322577"
"Maju Jaya","Jl. Genteng besar Pasar Genteng Baru Lt.2/BB 12 - Surabaya","","08123270609","03154798807"
"Lucky Parabola","Jl. Kahuripan 11 C - Malang","","0811362909","0341326380"
"LA Cell","Jl. Raya A Yani no. 2 Pandaan Pasuruan - Pandaan","","081805111151","03437666676"
"Sumber Agung Elektronik","Jl. DSN KarangTawang RT001/RW02 TambakBoyo Tuban - Tuban","","081357071775",""
"Sega Grosir","Jl. Gatot Soebroto - Malang","","081803888885",""
"Momo Kids","Jl. Gatot Soebroto No.93 Kediri - Kediri","","081335335677",""
"Loobo Cell","Jl. Sumedang Kepanjen Malang no.227 - Malang","","03419208880","0341391738"
"Joyo Elektronik","Jl. Pahlawan Sunaryo no. 7 Kutorejo Pandaan - Pandaan","","08123392508","0343632069"
"SDP Parabola"," - Malang","","0341-456222 / 456333","0341-451871"
